Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
QN06,Jamaica Estates-Holliswood,Queens,"26,757","17,433.64","9,301",1.53,51,0.7,Medium Low,0.75,Medium High,0.1,High,1.9,Medium Low,1.1,Low,2,Medium Low,0.12,Medium High,1,1,1,1,0,false,871,"9,301","10,172",199,Low,"26,372",167,704,0,0,false,0,2,4,0,Low,85,34,17,0,2,0,0,3,4,0.14,Low,0,,1,1,0.79,0.67,Above and Underground Network,Low,3,Low,0.87,Medium High,Low,High,YES,0.05,40,22,NO,NO,NO,NO,NONE
QN07,Hollis,Queens,"21,214","25,841.15","6,721",0.82,30,0.64,Medium Low,0.71,Medium High,0.13,High,2,Medium Low,1.2,Low,2,Medium Low,0.03,Low,1,1,1,1,0,false,346,"6,167","6,513",217,Low,"20,676",238,781,0,0,false,0,5,1,0,Low,75,17,4,0,3,0,0,5,0,0.17,Low,0,,1,1,1,0.81,Above and Underground Network,Low,3,Low,0.55,Medium Low,Low,High,YES,0.07,95,6,NO,NO,NO,NO,NONE
QN08,St. Albans,Queens,"54,626","19,673.41","15,623",2.78,89,0.61,Low,0.73,Medium High,0.16,High,2,Medium High,1,Low,2,Medium Low,0.03,Low,1,1,1,20,0,false,548,"15,623","16,171",182,Low,"51,236",440,"1,791",0,0,false,0,9,22,0,Medium High,177,9,32,0,3,0,0,11,7,0.2,Low,0,,1,1,1,0.07,Above and Underground Network,Low,3,Low,1.39,Medium High,Low,High,NO,0,102,4,NO,NO,NO,NO,NONE
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,"28,243","7,918.81","10,803",3.57,64,0.75,Medium High,0.71,Medium High,0.04,Medium Low,1.9,Medium Low,1.3,Medium-Low,3,Medium High,0.13,Medium High,0.95,0.95,3,17,0,false,168,"10,803","10,971",171,Low,"28,409",90,641,0,0,false,0,9,16,0,Low,93,36,8,0,6,0,5,3,8,0.17,Low,0,,0.99,2,0.86,0,Above Ground (Utility Pole Presence),Low,3,Low,0.94,Medium High,Low,High,YES,0.1,43,0,NO,NO,NO,NO,NONE
QN12,Hammels-Arverne-Edgemere,Queens,"39,003","17,568.47","13,346",2.22,62,0.67,Medium Low,0.74,Medium High,0.06,High,1.7,Low,1.2,Medium-Low,2,Medium Low,0.34,High,0.89,0.89,6,9,0,false,295,"13,346","13,641",220,Low,"41,227",781,"3,300",0,"3,411",false,8,5,14,0,Medium Low,90,2,21,0,2,0,5,3,1,0.06,Low,0,,1,2,0.88,0,Above and Underground Network,Low,3,Low,1.14,Medium High,Low,High,YES,0.29,51,10,NO,NO,NO,NO,NONE
QN15,Far Rockaway-Bayswater,Queens,"54,264","27,933.29","16,904",1.94,58,0.62,Low,0.63,Low,0.05,Medium High,2,Medium High,1.3,Medium-Low,3,Medium High,0.06,Medium Low,0.97,0.96,6,11,0,false,524,"16,904","17,428",300,Medium Low,"51,612","1,052","3,239",0,604,false,2,14,22,0,Low,99,33,9,0,13,0,1,3,2,0.09,Low,0,,0.94,2,0.99,0,Above Ground (Utility Pole Presence),Average,4,Average,1.47,High,Average,Average,YES,0.26,83,0,NO,NO,NO,NO,NONE
QN17,Forest Hills,Queens,"86,531","41,718.45","39,394",2.07,67,0.78,High,0.72,Medium High,0.04,Medium Low,2,Medium High,1.3,Medium-Low,3,Medium High,0.1,Medium Low,1,1,5,30,24,true,"2,028","39,394","41,422",618,Medium High,"86,113",617,"2,679",0,430,false,5,12,7,0,Low,141,272,31,1,15,24,0,15,27,0.63,Medium High,0,,0.74,2,0.25,1,Above and Underground Network,Average,4.5,High,3.53,High,Average,Average,YES,0.35,48,0,NO,NO,NO,NO,NONE
QN18,Rego Park,Queens,"28,106","39,294.28","12,262",0.72,29,0.73,Medium High,0.65,Low,0.06,High,1.9,Medium Low,1.2,Low,2,Medium Low,0.15,Medium High,1,1,3,7,0,false,"1,183","12,262","13,445",464,Medium High,"30,912",373,"1,295",0,0,false,0,3,2,0,Low,52,102,20,0,6,0,2,3,14,0.59,Medium Low,0,,0.73,1,0.76,0.99,Above and Underground Network,Average,4.5,High,1.14,Medium High,Average,Average,YES,0.25,40,0,NO,NO,NO,NO,NONE
QN19,Glendale,Queens,"34,029","31,606.65","11,887",1.08,41,0.75,Medium High,0.73,Medium High,0.04,Medium Low,2.1,Medium High,1,Low,2,Medium Low,0.08,Medium Low,1,1,1,1,0,false,"1,962","11,887","13,849",338,Medium Low,"32,893",242,"1,120",0,0,false,0,3,4,0,Medium Low,88,29,12,0,3,0,3,8,5,0.32,Low,0,,0.85,2,0.42,1,Above and Underground Network,Average,4,Average,1.18,Medium High,Average,Average,NO,0.01,21,8,NO,NO,NO,NO,NONE
QN20,Ridgewood,Queens,"72,964","40,285.76","24,676",1.81,53,0.71,Medium High,0.73,Medium High,0.04,Medium Low,3,High,1.3,Medium-Low,3,Medium High,0.05,Low,1,1,2,2,0,false,"1,716","24,257","25,973",490,Medium High,"72,569",733,"4,211",0,0,true,0,12,8,0,Medium Low,140,140,21,0,11,0,1,13,24,0.7,Medium High,0,,0.07,2,0.66,0.94,Above and Underground Network,Average,4.5,High,2.22,High,Average,Average,YES,0.04,30,0,NO,NO,NO,NO,NONE
QN21,Middle Village,Queens,"38,033","18,381.93","14,751",2.07,53,0.78,High,0.7,Medium Low,0.04,Medium Low,2.7,High,1.1,Low,3,Medium High,0.11,Medium Low,1,1,2,9,0,false,780,"14,751","15,531",293,Medium Low,"38,281",279,929,0,0,false,0,3,14,0,Low,108,53,7,0,3,0,1,16,8,0.45,Medium Low,0,,0.32,2,0.88,0.56,Above and Underground Network,Average,4,Average,1.31,Medium High,Average,Average,YES,0.03,69,16,NO,NO,NO,NO,NONE
QN22,Flushing,Queens,"70,697","52,055.19","26,279",1.36,44,0.55,Low,0.6,Low,0.14,High,2.1,Medium High,1.5,Medium-High,5,High,0.07,Medium Low,0.99,0.99,5,6,0,false,"2,829","26,279","29,108",662,High,"82,525",709,"6,578",0,906,false,5,10,4,0,Low,79,190,35,0,16,0,18,11,42,1.2,High,0,,0.54,2,0.74,0.65,Above and Underground Network,High,4.5,High,2.44,High,High,Low,YES,0.74,68,16,NO,NO,NO,NO,NONE
QN23,College Point,Queens,"25,875","14,268.1","7,778",1.81,44,0.68,Medium Low,0.61,Low,0.09,High,1.9,Medium Low,1.1,Low,3,Medium High,0.08,Medium Low,0.96,0.96,1,1,0,false,"1,594","7,778","9,372",213,Low,"25,650",238,"1,421",0,13,false,0,1,18,0,Low,76,22,15,0,5,0,0,4,10,0.32,Low,0,,1,2,0.98,0,Above and Underground Network,Low,3,Low,0.8,Medium Low,Low,High,YES,0.15,64,16,NO,NO,NO,NO,NONE
QN25,Corona,Queens,"58,626","81,397.54","16,379",0.72,27,0.67,Medium Low,0.7,Medium Low,0.06,High,2.6,High,1.3,Medium-High,2,Medium Low,0.16,Medium High,1,1,2,1,0,false,"1,442","16,379","17,821",660,High,"60,098","1,267","4,084",0,0,false,0,5,7,0,Low,58,29,18,0,3,0,1,13,5,0.67,Medium High,0,,0.23,2,0.91,1,Above and Underground Network,Average,4.5,High,1.55,High,Average,Average,YES,0.27,59,2,NO,NO,NO,NO,NONE
QN26,North Corona,Queens,"54,677","84,684.68","11,915",0.65,24,0.63,Low,0.68,Medium Low,0.05,Medium High,2.4,Medium High,1.1,Low,2,Medium Low,0.04,Low,0.99,0.99,5,2,1,true,"1,442","11,915","13,357",557,Medium High,"57,526",478,"3,778",0,0,false,0,8,3,0,Medium High,59,91,3,0,3,1,3,14,10,1,Medium High,0,,0.73,2,0.81,1,Above and Underground Network,Average,4.5,High,1.16,Medium High,Average,Average,YES,0.13,37,2,NO,NO,NO,NO,NONE
QN27,East Elmhurst,Queens,"21,760","30,753.46","5,850",0.71,29,0.7,Medium Low,0.69,Medium Low,0.03,Low,1.9,Medium Low,1.4,Medium-High,3,Medium High,0.13,Medium High,0.98,0.98,3,3,1,true,353,"5,850","6,203",214,Low,"24,989",197,"1,274",0,0,false,0,5,8,0,Low,57,22,14,0,2,1,1,8,7,0.52,Medium Low,0,,1,1,0.93,1,Above and Underground Network,Low,3,Low,0.55,Medium Low,Low,High,YES,0.08,46,4,NO,NO,NO,NO,NONE
QN28,Jackson Heights,Queens,"104,125","60,660.14","36,101",1.72,62,0.75,Medium High,0.76,High,0.03,Low,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.19,Medium High,0.99,0.99,3,25,24,true,994,"36,101","37,095",598,Medium High,"114,051","1,753","6,395",0,0,false,0,9,7,0,Medium Low,123,226,26,0,39,24,5,35,17,0.84,Medium High,0,,0.89,2,0.5,1,Above and Underground Network,Average,4.5,High,3.23,High,Average,Average,YES,0.31,62,23,NO,NO,NO,NO,NONE
QN29,Elmhurst,Queens,"83,663","71,384.84","26,214",1.17,46,0.72,Medium High,0.68,Medium Low,0.05,Medium High,2.6,High,1.3,Medium-Low,3,Medium High,0.12,Medium High,1,1,3,39,29,true,"1,683","26,214","27,897",606,Medium High,"92,647","1,141","6,122",0,0,false,0,9,10,2,High,102,174,21,0,16,29,8,17,11,0.61,Medium Low,0,,0.17,3,0.78,0.9,Above and Underground Network,Average,4.5,High,2.44,High,Average,Average,YES,0.3,55,6,YES,YES,YES,NO,"Average to High underground interference from existing utilities.  
Average to high make-ready requirements. Of the sample poles surveyed 50% required make-ready, and 33% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, poles with power attachment removed leaving only the telecom space remaining, and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had power service drops and telecom service drops crossing in the same space without proper clearance between the two."
QN30,Maspeth,Queens,"29,111","22,776.95","10,438",1.28,50,0.77,Medium High,0.7,Medium Low,0.04,Medium Low,3.2,High,1.2,Medium-Low,3,Medium High,0.12,Medium High,1,1,2,1,0,false,"1,261","10,857","12,118",242,Low,"31,153",226,"1,163",0,0,true,0,6,14,0,Medium Low,102,53,16,0,5,0,0,6,3,0.18,Low,0,,0.07,3,1,0.53,Above and Underground Network,Low,3,Low,1.04,Medium High,Low,High,YES,0.08,15,4,NO,NO,NO,NO,NONE
QN31,Hunters Point-Sunnyside-West Maspeth,Queens,"66,926","18,232.32","28,658",3.67,111,0.8,High,0.8,High,0.04,Medium Low,2.5,Medium High,1.5,Medium-High,4,High,0.39,High,1,1,3,52,42,true,"2,270","28,658","30,928",279,Medium Low,"119,758",938,"2,770",0,0,true,0,17,27,0,Medium Low,201,337,48,1,35,42,16,49,13,0.56,Medium Low,0,,0.53,3,0.57,0.74,Above and Underground Network,Average,4,Average,2.61,High,Average,Average,YES,0.39,104,74,NO,NO,NO,NO,NONE
QN33,Cambria Heights,Queens,"19,546","16,475.07","6,190",1.19,42,0.75,Medium High,0.77,High,0.08,High,2,Medium High,1,Low,1,Low,0.05,Medium Low,1,0.99,1,1,0,false,157,"6,190","6,347",151,Low,"18,767",199,291,0,0,false,0,6,2,0,Low,64,0,8,0,3,0,0,10,9,0.45,Medium Low,0,,0.99,1,0.7,0,Above Ground (Utility Pole Presence),Low,3,Low,0.54,Medium Low,Low,High,NO,0,108,55,NO,NO,NO,NO,NONE
QN34,Queens Village,Queens,"54,732","21,945.24","14,946",2.49,92,0.78,High,0.74,Medium High,0.05,Medium High,1.9,Medium Low,1.1,Low,2,Medium Low,0.07,Medium Low,1,1,1,1,0,false,263,"15,500","15,763",171,Low,"52,924",810,"2,323",0,0,false,0,4,12,0,Medium Low,193,67,20,0,4,0,0,4,6,0.11,Low,0,,0.98,1,1,0.43,Above and Underground Network,Low,3,Low,1.35,Medium High,Low,High,NO,0,43,35,NO,NO,NO,NO,NONE
QN35,Briarwood-Jamaica Hills,Queens,"42,224","40,175.45","8,659",1.05,42,0.75,Medium High,0.77,High,0.06,High,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.16,Medium High,0.99,0.99,1,2,0,false,"1,121","14,198","15,319",365,Medium Low,"41,833",326,"2,123",0,0,false,0,14,4,0,Low,86,64,17,0,1,0,1,6,13,0.45,Medium Low,0,,0.9,1,0.81,0.98,Above and Underground Network,Average,4,Average,1.31,Medium High,Average,Average,YES,0.34,191,0,YES,YES,NO,NO,Average underground interference from existing utilities.
QN37,Kew Gardens Hills,Queens,"38,404","28,259.17","13,133",1.36,47,0.77,Medium High,0.71,Medium High,0.04,Medium Low,1.8,Low,1.1,Low,2,Medium Low,0.25,High,1,1,2,1,0,false,700,"13,133","13,833",294,Medium Low,"37,852",413,"1,521",0,0,false,0,12,3,0,Medium Low,92,71,32,0,2,0,2,7,18,0.53,Medium Low,0,,0.97,1,0.13,0.76,Above and Underground Network,Average,4,Average,1.19,Medium High,Average,Average,YES,0.18,137,51,NO,NO,NO,NO,NONE
QN38,Pomonok-Flushing Heights-Hillcrest,Queens,"36,416","26,142.73","12,076",1.39,54,0.71,Medium Low,0.66,Low,0.04,Medium Low,1.9,Medium Low,1.2,Medium-Low,2,Medium Low,0.07,Medium Low,1,1,1,1,0,false,856,"12,076","12,932",239,Low,"35,038",628,"2,029",0,"2,071",false,3,4,3,1,Medium Low,75,33,33,0,4,0,0,12,16,0.52,Medium Low,0,,1,2,0.71,0.19,Above and Underground Network,Low,3,Low,1.09,Medium High,Low,High,YES,0.29,100,23,NO,NO,NO,NO,NONE
QN41,Fresh Meadows-Utopia,Queens,"18,700","18,770.79","6,658",1,42,0.82,High,0.79,High,0.04,Medium Low,2.1,Medium High,1,Low,2,Medium Low,0.1,Medium Low,1,1,2,5,0,false,658,"6,658","7,316",174,Low,"17,961",219,782,0,0,false,0,3,1,0,Low,50,40,14,0,3,0,0,3,0,0.07,Low,0,,0.64,1,0.24,0.46,Above and Underground Network,Low,3,Low,0.63,Medium Low,Low,High,YES,0.23,244,8,NO,NO,NO,NO,NONE
QN42,Oakland Gardens,Queens,"28,669","15,668.18","11,169",1.83,60,0.81,High,0.74,Medium High,0.05,Medium High,1.9,Medium Low,1.1,Low,3,Medium High,0.1,Medium Low,1,1,2,1,0,false,550,"11,169","11,719",195,Low,"28,981",162,"1,005",0,0,false,0,7,1,0,Low,94,19,15,0,3,0,0,13,12,0.42,Medium Low,0,,0.9,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.99,Medium High,Low,High,YES,0.07,119,8,NO,NO,NO,NO,NONE
QN43,Bellerose,Queens,"26,916","13,598.4","8,235",1.98,68,0.8,High,0.73,Medium High,0.05,Medium High,1.9,Medium Low,1.2,Low,3,Medium High,0.13,Medium High,1,1,1,7,0,false,264,"8,235","8,499",125,Low,"25,458",131,758,0,0,false,0,8,1,0,Medium Low,104,35,15,0,4,0,0,11,6,0.25,Low,0,,0.94,1,0.7,0.02,Above and Underground Network,Low,3,Low,0.72,Medium Low,Low,High,NO,0,169,2,NO,NO,NO,NO,NONE
QN44,Glen Oaks-Floral Park-New Hyde Park,Queens,"23,344","14,251.68","8,945",1.64,49,0.76,Medium High,0.71,Medium Low,0.03,Low,2.2,Medium High,1.1,Low,2,Medium Low,0.09,Medium Low,1,1,1,1,0,false,150,"8,945","9,095",186,Low,"22,767",60,397,0,0,false,0,6,2,0,None,68,28,9,0,3,0,0,12,2,0.29,Low,0,,0.89,1,0.45,0,Above Ground (Utility Pole Presence),Low,3,Low,0.81,Medium Low,Low,High,YES,0.06,118,8,YES,YES,NO,NO,Average to low underground interference from existing utilities.
QN45,Douglas Manor-Douglaston-Little Neck,Queens,"25,738","10,494.22","9,783",2.45,91,0.8,High,0.72,Medium High,0.04,Medium Low,2,Medium High,1.1,Low,2,Medium Low,0.12,Medium High,1,1,3,2,0,false,393,"9,783","10,176",112,Low,"25,016",25,663,0,0,false,0,5,12,0,Medium Low,116,44,4,0,8,0,0,0,8,0.09,Low,0,,0.93,2,0.64,0,Above Ground (Utility Pole Presence),Low,3,Low,0.86,Medium Low,Low,High,YES,0.03,63,4,NO,NO,NO,NO,NONE
QN46,Bayside-Bayside Hills,Queens,"44,864","15,480.77","15,707",2.9,110,0.83,High,0.76,High,0.05,Medium High,1.9,Medium Low,1.1,Low,3,Medium High,0.07,Medium Low,0.99,0.99,1,1,0,false,925,"15,707","16,632",151,Low,"44,484",264,"1,337",0,0,false,0,8,9,0,High,192,129,13,0,22,0,1,12,40,0.47,Medium Low,0,,1,2,0.99,0.26,Above and Underground Network,Low,3,Low,1.42,Medium High,Low,High,YES,0.04,213,0,YES,YES,YES,NO,"Average to low underground interference from existing utilities.
Low make-ready requirements. Of the sample poles surveyed 60% required make-ready, and 0% required pole replacement. 
General findings for this area include; spacing issues with current utility attachments in the telecom space, broken lashing wire on some attachments, and some locations had telecom service drops crossing the roadway without proper clearance."
QN47,Ft. Totten-Bay Terrace-Clearview,Queens,"21,945","13,216.21","9,887",1.66,43,0.78,High,0.72,Medium High,0.06,High,1.8,Medium Low,1.1,Low,3,Medium High,0.32,High,0.77,0.77,3,2,0,false,469,"9,887","10,356",241,Low,"21,920",38,502,0,0,false,0,4,3,0,Low,86,18,20,0,0,0,0,6,13,0.44,Medium Low,0,,1,1,0.44,0.37,Above and Underground Network,Low,3,Low,0.89,Medium High,Low,High,YES,0.18,273,24,NO,NO,NO,NO,NONE
QN48,Auburndale,Queens,"20,609","16,817.81","6,937",1.23,49,0.79,High,0.72,Medium High,0.05,Medium High,1.9,Medium Low,1.1,Low,2,Medium Low,0.08,Medium Low,0.99,0.99,1,1,0,false,"1,071","6,937","8,008",163,Low,"20,412",98,660,0,0,false,0,4,2,0,Low,79,23,14,0,2,0,0,10,14,0.49,Medium Low,0,,1,1,0.61,0.36,Above and Underground Network,Low,3,Low,0.68,Medium Low,Low,High,YES,0.05,170,45,NO,NO,NO,NO,NONE
QN49,Whitestone,Queens,"31,090","12,554.35","11,275",2.48,83,0.81,High,0.7,Medium Low,0.04,Medium Low,1.9,Medium Low,1.1,Low,2,Medium Low,0.12,Medium High,0.97,0.97,1,1,0,false,934,"11,275","12,209",147,Low,"31,394",126,848,0,0,false,0,4,13,0,Low,131,34,11,0,2,0,0,6,29,0.42,Medium Low,0,,1,2,0.97,0.1,Above and Underground Network,Low,3,Low,1.03,Medium High,Low,High,YES,0.09,139,21,NO,NO,NO,NO,NONE
QN50,Elmhurst-Maspeth,Queens,"26,460","33,642.65","7,825",0.79,34,0.79,High,0.79,High,0.02,Low,2.6,High,1.3,Medium-Low,3,Medium High,0.21,High,1,1,0,12,12,true,"1,680","7,825","9,505",280,Medium Low,"29,655",422,"1,344",0,0,true,0,5,3,0,Low,55,39,4,0,3,12,3,3,4,0.21,Low,0,,0.26,3,0.56,0.89,Above and Underground Network,Average,4,Average,0.83,Medium Low,Average,Average,YES,0.18,54,3,NO,NO,NO,NO,NONE
QN51,Murray Hill,Queens,"52,659","27,970.68","17,653",1.88,57,0.65,Medium Low,0.63,Low,0.07,High,2,Medium Low,1.2,Low,3,Medium High,0.04,Low,1,1,1,6,0,false,"2,404","17,653","20,057",352,Medium Low,"52,719",687,"3,173",0,0,false,0,6,5,0,Low,120,83,22,0,1,0,0,8,33,0.72,Medium High,0,,0.81,2,0.99,0.75,Above and Underground Network,Average,4,Average,1.72,High,Average,Average,YES,0.13,98,8,NO,NO,NO,NO,NONE
QN52,East Flushing,Queens,"26,436","25,023.55","8,231",1.06,31,0.69,Medium Low,0.63,Low,0.05,Medium High,2,Medium High,1,Low,2,Medium Low,0.01,Low,1,1,2,4,0,false,"1,739","8,231","9,970",322,Medium Low,"27,661",253,"1,741",0,0,false,0,2,3,0,Low,71,29,9,0,3,0,0,3,15,0.58,Medium Low,0,,0.93,1,0.98,0.78,Above and Underground Network,Average,4,Average,0.86,Medium Low,Average,Average,YES,0.07,91,0,NO,NO,NO,NO,NONE
QN53,Woodhaven,Queens,"62,821","47,335.92","17,208",1.33,54,0.76,Medium High,0.75,Medium High,0.06,High,2,Medium High,1,Low,1,Low,0.05,Low,1,1,2,19,14,true,499,"17,208","17,707",328,Medium Low,"58,665",484,"3,000",0,0,false,0,6,9,0,Low,75,91,17,0,4,14,6,4,20,0.44,Medium Low,0,,0.89,1,1,0.96,Above and Underground Network,Average,4,Average,1.52,High,Average,Average,YES,0.02,191,0,YES,YES,YES,NO,"Average to high underground interference from existing utilities. 
Average to low make-ready requirements. Of the sample poles surveyed 33% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and telecom drop that do not meet proper clearances."
QN54,Richmond Hill,Queens,"68,275","37,339.48","17,392",1.83,61,0.73,Medium High,0.77,High,0.06,High,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.07,Medium Low,1,1,2,29,23,true,741,"17,392","18,133",297,Medium Low,"67,126",722,"3,863",0,0,true,0,13,8,0,Medium Low,129,92,34,0,16,22,1,16,19,0.57,Medium Low,0,,1,1,0.75,0.96,Above and Underground Network,Average,4,Average,1.56,High,Average,Average,NO,0.001,107,34,NO,NO,NO,NO,NONE
QN55,South Ozone Park,Queens,"85,411","28,877.26","21,939",2.96,95,0.76,Medium High,0.73,Medium High,0.04,Medium Low,1.9,Medium Low,1.1,Low,2,Medium Low,0.09,Medium Low,0.98,0.98,2,2,0,false,522,"21,939","22,461",236,Low,"76,732","1,229","4,157",0,0,false,0,10,22,0,High,130,187,20,1,8,0,0,21,15,0.38,Low,0,,1,2,1,0.01,Above and Underground Network,Low,3,Low,1.93,High,Low,High,YES,0.04,76,17,NO,NO,NO,NO,NONE
QN56,Ozone Park,Queens,"23,415","26,082.17","6,909",0.9,33,0.8,High,0.78,High,0.07,High,1.9,Medium Low,1,Low,1,Low,0.11,Medium Low,1,1,1,1,0,false,429,"6,909","7,338",222,Low,"21,774",159,"1,096",0,0,false,0,6,12,0,Low,39,67,10,0,3,0,3,8,9,0.52,Medium Low,0,,0.98,2,1,0.21,Above and Underground Network,Low,3,Low,0.63,Medium Low,Low,High,NO,0.01,140,8,NO,NO,NO,NO,NONE
QN57,Lindenwood-Howard Beach,Queens,"28,247","12,309.69","10,511",2.29,66,0.73,Medium High,0.65,Low,0.05,Medium High,1.9,Medium Low,1,Low,1,Low,0.18,Medium High,0.96,0.96,1,1,0,false,477,"10,511","10,988",166,Low,"26,339",123,"1,131",0,0,false,0,3,28,0,Low,82,52,10,0,1,0,3,6,4,0.15,Low,0,,0.98,2,1,0.02,Above and Underground Network,Low,3,Low,0.94,Medium High,Low,High,YES,0.05,152,0,YES,YES,YES,NO,"Low underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 0% required make-ready, and 0% required pole replacement. 
General findings for this area include; no substantial compliance violations or make ready concerns."
QN60,Kew Gardens,Queens,"23,719","32,150.67","10,154",0.74,32,0.74,Medium High,0.72,Medium High,0.05,Medium High,1.8,Low,1.4,Medium-High,3,Medium High,0.28,High,0.94,0.94,0,10,5,true,556,"10,154","10,710",335,Medium Low,"23,619",362,"1,126",0,0,false,0,1,8,0,Low,43,40,13,0,6,5,1,4,10,0.44,Medium Low,0,,0.94,1,0.11,1,Above and Underground Network,Average,4,Average,0.9,Medium High,Average,Average,YES,0.55,126,8,NO,NO,NO,NO,NONE
QN61,Jamaica,Queens,"55,597","32,764.93","21,370",1.7,55,0.64,Medium Low,0.68,Medium Low,0.08,High,1.8,Low,1.3,Medium-Low,3,Medium High,0.14,Medium High,1,1,5,25,18,true,757,"15,831","16,588",302,Medium Low,"65,735","1,166","4,257",100,530,true,3,9,16,0,Medium High,154,195,34,0,6,18,18,30,23,0.96,Medium High,0,,1,1,0.94,0.87,Above and Underground Network,Average,4,Average,1.43,High,Average,Average,YES,0.42,189,4,NO,NO,NO,NO,NONE
QN62,Queensboro Hill,Queens,"21,460","22,525.02","5,968",0.95,35,0.68,Medium Low,0.69,Medium Low,0.08,High,1.9,Medium Low,1.1,Low,2,Medium Low,0.11,Medium High,1,1,1,7,0,false,"1,657","5,968","7,625",218,Low,"21,179",210,"1,480",0,0,false,0,2,3,0,Low,61,44,11,0,0,0,4,5,13,0.51,Medium Low,0,,1,1,0.88,0.73,Above and Underground Network,Low,3,Low,0.65,Medium Low,Low,High,NO,0.01,222,7,NO,NO,NO,NO,NONE
QN63,Woodside,Queens,"45,702","45,106.27","15,879",1.01,42,0.78,High,0.78,High,0.03,Low,2.5,High,1.3,Medium-Low,3,Medium High,0.25,High,1,1,1,16,7,true,"1,675","15,879","17,554",418,Medium Low,"51,598",619,"2,253",0,0,true,0,4,8,0,Low,58,89,17,0,5,6,2,12,7,0.45,Medium Low,0,,0.28,3,0.65,0.94,Above and Underground Network,Average,4,Average,1.52,High,Average,Average,YES,0.39,127,21,NO,NO,NO,NO,NONE
